,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
71,71,0.10400000000021947,260,-118.9,0.8657629027243453,0.09366410970687866,,"[10, 3, 4, 35]"
72,72,0.11200000000023635,280,-117.9,0.8640313769188966,0.09951483458280563,,"[3, 7, 4, 35]"
73,73,0.11200000000023635,280,-135.4,0.8623033141650589,0.08825361728668213,,"[11, 6, 4, 30]"
74,74,0.12000000000025324,300,-125.6,0.8605787075367288,0.0811518058180809,,"[12, 5, 4, 39]"
75,75,0.11200000000023635,280,-125.2,0.8588575501216553,0.07655759155750275,,"[6, 6, 4, 30]"
76,76,0.1160000000002448,290,-107.5,0.857139835021412,0.0758218914270401,,"[10, 4, 4, 37]"
77,77,0.12400000000026168,310,-144.6,0.8554255553513692,0.04794013127684593,,"[7, 4, 4, 38]"
78,78,0.11200000000023635,280,-107.9,0.8537147042406664,0.08129997551441193,,"[3, 6, 4, 39]"
79,79,0.11200000000023635,280,-129.2,0.8520072748321851,0.06305713206529617,,"[4, 7, 4, 38]"
80,80,0.10800000000022791,270,-139.0,0.8503032602825207,0.07606181502342224,,"[6, 3, 4, 40]"
81,81,0.12400000000026168,310,-155.2,0.8486026537619556,0.0737246572971344,,"[5, 5, 4, 26]"
82,82,0.12000000000025324,300,-122.5,0.8469054484544317,0.07849764823913574,,"[3, 6, 4, 38]"
83,83,0.10400000000021947,260,-96.9,0.8452116375575228,0.1002771258354187,,"[6, 7, 4, 28]"
84,84,0.11200000000023635,280,-112.2,0.8435212142824078,0.07060796767473221,,"[9, 4, 4, 30]"
85,85,0.1160000000002448,290,-132.4,0.841834171853843,0.072451651096344,,"[7, 3, 4, 28]"
86,86,0.11200000000023635,280,-106.8,0.8401505035101353,0.08263406902551651,,"[11, 6, 4, 30]"
87,87,0.1160000000002448,290,-157.5,0.838470202503115,0.1043785884976387,,"[3, 3, 4, 27]"
88,88,0.1160000000002448,290,-150.4,0.8367932620981088,0.07211804389953613,,"[4, 5, 4, 38]"
89,89,0.11200000000023635,280,-121.7,0.8351196755739125,0.09440822154283524,,"[7, 4, 4, 27]"
