,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
144,144,0.1079999999997483,270,-45.599999999999994,0.6468416186085668,0.011463208124041557,,"[5, 4, 4, 10]"
145,145,0.1079999999997483,270,-79.1,0.6449010937527411,0.013020284473896027,,"[1, 2, 4, 12]"
146,146,0.11199999999973898,280,-37.9,0.6429663904714829,0.01138855516910553,,"[6, 3, 4, 8]"
147,147,0.1079999999997483,270,-30.2,0.6410374913000684,0.012477222830057144,,"[7, 4, 4, 5]"
148,148,0.11199999999973898,280,-37.0,0.6391143788261682,0.01083458960056305,,"[10, 4, 4, 7]"
149,149,0.11599999999972965,290,-33.199999999999996,0.6371970356896897,0.012452141381800175,,"[10, 2, 4, 7]"
150,150,0.11199999999973898,280,-30.4,0.6352854445826206,0.011756409890949726,,"[6, 4, 4, 8]"
151,151,0.11999999999972033,300,-45.3,0.6333795882488727,0.012287799268960953,,"[5, 3, 4, 12]"
152,152,0.11199999999973898,280,-28.9,0.6314794494841262,0.01001637615263462,,"[9, 2, 4, 12]"
153,153,0.11199999999973898,280,-46.400000000000006,0.6295850111356738,0.012998114340007305,,"[4, 2, 4, 6]"
154,154,0.1079999999997483,270,-41.2,0.6276962561022668,0.010303646326065063,,"[9, 2, 4, 6]"
155,155,0.11199999999973898,280,-43.2,0.62581316733396,0.012181240133941174,,"[10, 2, 4, 6]"
156,156,0.1079999999997483,270,-35.800000000000004,0.623935727831958,0.010880723595619202,,"[7, 3, 4, 13]"
157,157,0.11999999999972033,300,-42.4,0.6220639206484622,0.011039091274142265,,"[3, 2, 4, 11]"
158,158,0.1079999999997483,270,-29.599999999999998,0.6201977288865168,0.009855824522674084,,"[9, 5, 4, 14]"
159,159,0.11199999999973898,280,-34.5,0.6183371356998573,0.012659306637942791,,"[3, 6, 4, 4]"
160,160,0.11199999999973898,280,-38.4,0.6164821242927577,0.01101212203502655,,"[3, 3, 4, 10]"
161,161,0.11199999999973898,280,-38.9,0.6146326779198794,0.011437816545367241,,"[3, 3, 4, 6]"
162,162,0.11199999999973898,280,-37.599999999999994,0.6127887798861198,0.012393888086080551,,"[9, 3, 4, 13]"
163,163,0.12799999999970169,320,-37.4,0.6109504135464614,0.011842556297779083,,"[5, 5, 4, 4]"
164,164,0.1079999999997483,270,-33.7,0.609117562305822,0.01226319931447506,,"[6, 3, 4, 5]"
165,165,0.11199999999973898,280,-35.9,0.6072902096189046,0.011262604966759682,,"[2, 2, 4, 3]"
166,166,0.11199999999973898,280,-34.3,0.6054683389900478,0.011518830433487892,,"[5, 2, 4, 7]"
167,167,0.11199999999973898,280,-37.900000000000006,0.6036519339730777,0.011509159579873085,,"[4, 4, 4, 14]"
168,168,0.11599999999972965,290,-59.4,0.6018409781711584,0.011023343540728092,,"[2, 3, 4, 12]"
169,169,0.11199999999973898,280,-34.0,0.6000354552366449,0.011836606077849865,,"[7, 4, 4, 10]"
170,170,0.11199999999973898,280,-30.8,0.598235348870935,0.01154300570487976,,"[13, 3, 4, 11]"
171,171,0.1079999999997483,270,-31.7,0.5964406428243222,0.012109816074371338,,"[5, 4, 3, 6]"
172,172,0.1079999999997483,270,-24.799999999999997,0.5946513208958493,0.010755046270787716,,"[8, 5, 4, 15]"
173,173,0.11199999999973898,280,-34.3,0.5928673669331617,0.012679158709943295,,"[3, 4, 4, 6]"
174,174,0.11599999999972965,290,-41.3,0.5910887648323622,0.012208803556859493,,"[6, 7, 4, 6]"
175,175,0.11199999999973898,280,-37.9,0.5893154985378651,0.010345522314310074,,"[7, 7, 4, 10]"
176,176,0.11199999999973898,280,-38.5,0.5875475520422515,0.012342561967670918,,"[3, 3, 4, 17]"
177,177,0.11199999999973898,280,-39.8,0.5857849093861247,0.012555240653455257,,"[3, 4, 4, 7]"
178,178,0.11199999999973898,280,-31.699999999999996,0.5840275546579663,0.012189270928502083,,"[3, 4, 4, 12]"
179,179,0.11599999999972965,290,-39.8,0.5822754719939924,0.012373896315693855,,"[3, 3, 4, 10]"
180,180,0.1079999999997483,270,-37.0,0.5805286455780104,0.010089317336678505,,"[4, 3, 4, 8]"
181,181,0.1079999999997483,270,-26.1,0.5787870596412764,0.011720105074346066,,"[9, 3, 4, 10]"
182,182,0.11199999999973898,280,-32.9,0.5770506984623526,0.011166802607476711,,"[4, 4, 4, 10]"
183,183,0.11999999999972033,300,-45.6,0.5753195463669655,0.011595898307859898,,"[3, 4, 4, 6]"
184,184,0.11599999999972965,290,-44.599999999999994,0.5735935877278646,0.01140398159623146,,"[2, 4, 4, 8]"
185,185,0.11599999999972965,290,-30.5,0.571872806964681,0.011938869953155518,,"[1, 3, 4, 6]"
186,186,0.1079999999997483,270,-28.599999999999994,0.5701571885437869,0.010697631165385246,,"[5, 2, 4, 28]"
187,187,0.11199999999973898,280,-30.0,0.5684467169781556,0.010584274306893349,,"[4, 3, 4, 9]"
188,188,0.11599999999972965,290,-27.499999999999996,0.5667413768272211,0.012019715271890163,,"[3, 4, 4, 13]"
189,189,0.11199999999973898,280,-39.2,0.5650411526967395,0.009988123551011086,,"[3, 3, 4, 10]"
190,190,0.1079999999997483,270,-50.4,0.5633460292386493,0.011300512589514256,,"[2, 3, 4, 12]"
191,191,0.11199999999973898,280,-39.599999999999994,0.5616559911509333,0.011484993621706963,,"[5, 3, 4, 8]"
192,192,0.11199999999973898,280,-34.9,0.5599710231774805,0.011957449838519096,,"[6, 7, 4, 4]"
193,193,0.11199999999973898,280,-36.1,0.5582911101079481,0.011335673741996288,,"[5, 1, 4, 9]"
194,194,0.1079999999997483,270,-34.199999999999996,0.5566162367776242,0.010666893795132637,,"[6, 4, 4, 8]"
195,195,0.11599999999972965,290,-31.999999999999996,0.5549463880672914,0.010337085463106632,,"[7, 3, 4, 7]"
196,196,0.11599999999972965,290,-38.7,0.5532815489030894,0.011808397248387337,,"[3, 4, 4, 6]"
197,197,0.1079999999997483,270,-25.5,0.5516217042563801,0.012344607152044773,,"[5, 2, 4, 7]"
198,198,0.11199999999973898,280,-37.599999999999994,0.549966839143611,0.010885469615459442,,"[7, 3, 4, 9]"
199,199,0.1079999999997483,270,-36.599999999999994,0.5483169386261801,0.010387668386101723,,"[10, 3, 4, 11]"
200,200,0.1079999999997483,270,-23.1,0.5466719878103016,0.011219209991395473,,"[9, 2, 4, 7]"
201,201,0.1079999999997483,270,-25.5,0.5450319718468707,0.011114033870398998,,"[12, 2, 4, 6]"
202,202,0.11599999999972965,290,-38.6,0.5433968759313301,0.012013031169772148,,"[6, 5, 4, 10]"
203,203,0.1079999999997483,270,-25.0,0.5417666853035361,0.010501572862267494,,"[9, 2, 4, 11]"
204,204,0.11199999999973898,280,-26.2,0.5401413852476254,0.011340659111738205,,"[9, 6, 4, 11]"
205,205,0.1079999999997483,270,-31.999999999999996,0.5385209610918825,0.011770717799663544,,"[8, 2, 4, 11]"
206,206,0.11599999999972965,290,-40.8,0.5369053982086068,0.011508138850331306,,"[2, 3, 4, 8]"
207,207,0.1079999999997483,270,-32.3,0.535294682013981,0.010281907394528389,,"[16, 4, 4, 14]"
208,208,0.11199999999973898,280,-34.900000000000006,0.5336887979679391,0.010081051848828793,,"[10, 3, 4, 13]"
209,209,0.1079999999997483,270,-35.099999999999994,0.5320877315740353,0.01200832612812519,,"[8, 3, 4, 10]"
210,210,0.1079999999997483,270,-32.099999999999994,0.5304914683793133,0.010333210229873657,,"[3, 5, 4, 8]"
211,211,0.11199999999973898,280,-38.8,0.5288999939741753,0.009678294882178307,,"[4, 3, 4, 6]"
212,212,0.11599999999972965,290,-38.9,0.5273132939922528,0.011005034670233727,,"[7, 3, 4, 10]"
213,213,0.11599999999972965,290,-43.699999999999996,0.525731354110276,0.011700110509991646,,"[2, 5, 4, 11]"
214,214,0.1079999999997483,270,-34.8,0.5241541600479452,0.01198046375066042,,"[6, 1, 4, 9]"
215,215,0.11599999999972965,290,-32.8,0.5225816975678014,0.010706148110330105,,"[4, 3, 4, 5]"
216,216,0.11199999999973898,280,-31.9,0.521013952475098,0.012404685840010643,,"[0, 3, 4, 14]"
217,217,0.1079999999997483,270,-30.9,0.5194509106176727,0.010941836051642895,,"[3, 3, 4, 10]"
218,218,0.11199999999973898,280,-25.6,0.5178925578858197,0.010551885701715946,,"[4, 6, 4, 9]"
219,219,0.11599999999972965,290,-38.099999999999994,0.5163388802121622,0.012048618867993355,,"[1, 4, 4, 11]"
220,220,0.11199999999973898,280,-38.1,0.5147898635715258,0.011448071338236332,,"[1, 3, 4, 20]"
221,221,0.11199999999973898,280,-35.0,0.5132454939808112,0.012406960129737854,,"[7, 6, 4, 18]"
222,222,0.11199999999973898,280,-32.7,0.5117057574988688,0.012637704610824585,,"[3, 7, 4, 11]"
223,223,0.11599999999972965,290,-35.099999999999994,0.5101706402263723,0.01242141891270876,,"[5, 3, 4, 5]"
224,224,0.1079999999997483,270,-39.800000000000004,0.5086401283056932,0.010688618756830692,,"[5, 6, 4, 10]"
225,225,0.11199999999973898,280,-44.7,0.5071142079207761,0.011459000408649445,,"[3, 1, 4, 9]"
226,226,0.1079999999997483,270,-29.299999999999997,0.5055928652970137,0.012196761555969715,,"[7, 3, 4, 4]"
227,227,0.11199999999973898,280,-28.0,0.5040760867011227,0.011618183925747871,,"[5, 4, 4, 12]"
228,228,0.11199999999973898,280,-28.4,0.5025638584410194,0.010993963107466698,,"[10, 3, 4, 8]"
229,229,0.11599999999972965,290,-40.9,0.5010561668656963,0.011341252364218235,,"[6, 4, 4, 12]"
230,230,0.11199999999973898,280,-33.5,0.49955299836509925,0.010838009417057037,,"[5, 1, 4, 7]"
231,231,0.11599999999972965,290,-29.200000000000003,0.49805433937000393,0.01040069479495287,,"[4, 5, 4, 5]"
232,232,0.11999999999972033,300,-53.8,0.4965601763518939,0.0107944430783391,,"[1, 5, 4, 6]"
233,233,0.11199999999973898,280,-51.8,0.49507049582283824,0.010265583172440529,,"[1, 2, 4, 14]"
234,234,0.1079999999997483,270,-37.400000000000006,0.49358528433536975,0.01150424499064684,,"[1, 6, 4, 6]"
235,235,0.11199999999973898,280,-27.5,0.49210452848236363,0.011521995067596436,,"[3, 3, 4, 10]"
236,236,0.11599999999972965,290,-25.5,0.49062821489691655,0.011217428371310234,,"[8, 5, 4, 5]"
237,237,0.1079999999997483,270,-28.1,0.4891563302522258,0.009746374562382698,,"[6, 5, 4, 7]"
238,238,0.11599999999972965,290,-56.8,0.48768886126146915,0.010282555595040321,,"[1, 3, 4, 7]"
239,239,0.11599999999972965,290,-21.799999999999997,0.48622579467768473,0.009530197829008102,,"[3, 3, 4, 13]"
240,240,0.1079999999997483,270,-29.0,0.4847671172936517,0.011927343904972076,,"[5, 5, 4, 12]"
241,241,0.11199999999973898,280,-31.7,0.4833128159417707,0.010440423153340816,,"[1, 5, 4, 15]"
242,242,0.11599999999972965,290,-33.099999999999994,0.4818628774939454,0.009971007704734802,,"[1, 5, 4, 10]"
243,243,0.11199999999973898,280,-21.2,0.48041728886146357,0.010221827775239944,,"[3, 6, 4, 12]"
244,244,0.11199999999973898,280,-18.9,0.4789760369948792,0.011368969455361366,,"[1, 4, 4, 8]"
245,245,0.11199999999973898,280,-26.799999999999997,0.47753910888389456,0.011001229286193848,,"[4, 6, 4, 12]"
246,246,0.11199999999973898,280,-33.8,0.4761064915572429,0.010807111859321594,,"[0, 2, 4, 13]"
247,247,0.11199999999973898,280,-21.299999999999997,0.4746781720825711,0.011264020577073097,,"[1, 3, 4, 11]"
248,248,0.1079999999997483,270,-35.7,0.4732541375663234,0.009369860403239727,,"[0, 3, 4, 10]"
249,249,0.11199999999973898,280,-23.2,0.4718343751536244,0.011618167161941528,,"[2, 2, 4, 12]"
250,250,0.11199999999973898,280,-26.299999999999997,0.47041887202816357,0.011062844656407833,,"[1, 2, 4, 7]"
251,251,0.11199999999973898,280,-30.299999999999997,0.4690076154120791,0.012006561271846294,,"[1, 4, 4, 9]"
