,Episode,Duration,Slots,Score,Epsilon,min_loss,c&c,audio,video,be
221,221,0.20519999999952176,342,-234.95000000000002,0.9460054596407667,0.2110596001148224,16,2,1,58
222,222,0.20879999999951337,348,-250.70000000000005,0.9457689582758565,0.1560174822807312,13,3,1,66
223,223,0.20879999999951337,348,-253.70000000000005,0.9455325160362875,0.21677714586257935,12,3,1,62
224,224,0.21059999999950918,351,-244.14999999999998,0.9452961329072784,0.17792043089866638,6,3,1,64
225,225,0.21059999999950918,351,-241.55,0.9450598088740516,0.16141322255134583,10,2,1,60
226,226,0.20699999999951757,345,-235.20000000000002,0.9448235439218331,0.20752868056297302,14,1,1,54
227,227,0.20699999999951757,345,-254.85,0.9445873380358527,0.18138396739959717,11,3,0,71
228,228,0.20699999999951757,345,-239.85,0.9443511912013438,0.22469133138656616,10,2,1,59
229,229,0.20699999999951757,345,-253.75000000000003,0.9441151034035435,0.1774613857269287,12,0,1,58
230,230,0.21059999999950918,351,-246.75,0.9438790746276927,0.17671385407447815,10,3,1,64
231,231,0.21239999999950498,354,-292.6,0.9436431048590358,0.19639675319194794,9,2,0,70
232,232,0.21239999999950498,354,-254.35000000000005,0.943407194082821,0.1825987845659256,12,2,1,57
233,233,0.20699999999951757,345,-237.8,0.9431713422843003,0.18736115097999573,14,3,1,55
234,234,0.20699999999951757,345,-230.40000000000003,0.9429355494487293,0.2017708569765091,14,3,1,60
235,235,0.20699999999951757,345,-255.65,0.9426998155613671,0.21653470396995544,13,4,0,68
236,236,0.20879999999951337,348,-249.45000000000005,0.9424641406074767,0.21342365443706512,12,2,1,60
237,237,0.20879999999951337,348,-255.70000000000002,0.9422285245723249,0.19781149923801422,15,3,1,62
238,238,0.20879999999951337,348,-257.3,0.9419929674411818,0.19851469993591309,12,2,1,63
239,239,0.20699999999951757,345,-233.10000000000002,0.9417574691993215,0.22475673258304596,12,3,1,62
240,240,0.20699999999951757,345,-245.10000000000002,0.9415220298320217,0.19196566939353943,11,5,1,55
