,Episode,Duration,Slots,Score,Epsilon,min_loss,success_rate
88,88,0.20639999999951897,516,-437.5,0.8367932620981088,0.0029296875,"[8, 6, 60, 20]"
89,89,0.21119999999950778,528,-475.5,0.8351196755739125,0.0023193359375,"[11, 4, 60, 20]"
90,90,0.2159999999994966,540,-490.5,0.8334494362227647,0.0028076171875,"[7, 4, 60, 20]"
91,91,0.20639999999951897,516,-506.0,0.8317825373503192,0.00274658203125,"[9, 5, 60, 20]"
92,92,0.20639999999951897,516,-500.0,0.8301189722756185,0.00250244140625,"[10, 2, 60, 20]"
93,93,0.20519999999952176,513,-504.0,0.8284587343310672,0.0020751953125,"[10, 6, 60, 20]"
94,94,0.20879999999951337,522,-485.5,0.8268018168624051,0.00323486328125,"[13, 5, 60, 20]"
95,95,0.20879999999951337,522,-489.0,0.8251482132286803,0.0030517578125,"[9, 4, 60, 20]"
96,96,0.20879999999951337,522,-472.0,0.823497916802223,0.00286865234375,"[10, 5, 60, 20]"
97,97,0.21119999999950778,528,-525.0,0.8218509209686186,0.00347900390625,"[11, 5, 60, 20]"
98,98,0.20759999999951617,519,-521.0,0.8202072191266814,0.00335693359375,"[9, 4, 60, 20]"
99,99,0.20879999999951337,522,-512.0,0.818566804688428,0.00225830078125,"[9, 4, 60, 20]"
100,100,0.20879999999951337,522,-501.5,0.8169296710790511,0.00299072265625,"[11, 3, 60, 20]"
101,101,0.20879999999951337,522,-595.0,0.815295811736893,0.003173828125,"[9, 1, 60, 20]"
102,102,0.2147999999994994,537,-505.0,0.8136652201134192,0.0030517578125,"[13, 4, 60, 20]"
103,103,0.20639999999951897,516,-513.0,0.8120378896731923,0.0032958984375,"[10, 6, 60, 20]"
104,104,0.20639999999951897,516,-542.0,0.8104138138938459,0.0032958984375,"[12, 4, 60, 20]"
105,105,0.21119999999950778,528,-526.0,0.8087929862660582,0.00225830078125,"[9, 5, 60, 20]"
106,106,0.20759999999951617,519,-553.0,0.8071754002935261,0.00286865234375,"[9, 5, 60, 20]"
107,107,0.21119999999950778,528,-525.5,0.805561049492939,0.0035400390625,"[10, 7, 60, 20]"
108,108,0.20639999999951897,516,-546.5,0.8039499273939532,0.0030517578125,"[5, 4, 60, 20]"
109,109,0.21239999999950498,531,-516.5,0.8023420275391653,0.00286865234375,"[10, 5, 60, 20]"
110,110,0.20759999999951617,519,-539.0,0.800737343484087,0.0029296875,"[9, 4, 60, 20]"
111,111,0.20879999999951337,522,-521.0,0.7991358687971188,0.003173828125,"[12, 4, 60, 20]"
112,112,0.20759999999951617,519,-510.0,0.7975375970595246,0.0028076171875,"[11, 2, 60, 20]"
113,113,0.20879999999951337,522,-558.5,0.7959425218654056,0.0032958984375,"[10, 4, 60, 20]"
114,114,0.20639999999951897,516,-610.5,0.7943506368216747,0.00244140625,"[6, 3, 60, 20]"
115,115,0.20639999999951897,516,-597.5,0.7927619355480314,0.00384521484375,"[8, 4, 60, 20]"
116,116,0.20759999999951617,519,-542.0,0.7911764116769353,0.00250244140625,"[5, 5, 60, 20]"
117,117,0.21119999999950778,528,-585.5,0.7895940588535815,0.0030517578125,"[13, 1, 60, 20]"
118,118,0.20999999999951058,525,-538.0,0.7880148707358743,0.00286865234375,"[4, 4, 60, 20]"
119,119,0.2159999999994966,540,-616.0,0.7864388409944025,0.00341796875,"[4, 3, 60, 20]"
120,120,0.20759999999951617,519,-593.5,0.7848659633124138,0.00299072265625,"[8, 2, 60, 20]"
121,121,0.20759999999951617,519,-809.5,0.783296231385789,0.00360107421875,"[3, 3, 58, 20]"
122,122,0.21119999999950778,528,-640.0,0.7817296389230174,0.00335693359375,"[6, 4, 60, 20]"
123,123,0.21239999999950498,531,-600.5,0.7801661796451713,0.00286865234375,"[7, 2, 60, 20]"
124,124,0.20519999999952176,513,-582.5,0.778605847285881,0.0023193359375,"[12, 3, 60, 20]"
125,125,0.20879999999951337,522,-536.5,0.7770486355913092,0.0032958984375,"[10, 6, 60, 20]"
126,126,0.20759999999951617,519,-685.5,0.7754945383201266,0.0035400390625,"[7, 5, 60, 20]"
127,127,0.20999999999951058,525,-574.0,0.7739435492434863,0.00335693359375,"[12, 6, 60, 20]"
128,128,0.20999999999951058,525,-582.0,0.7723956621449993,0.0029296875,"[10, 2, 60, 20]"
129,129,0.20999999999951058,525,-571.5,0.7708508708207094,0.00347900390625,"[10, 4, 60, 20]"
130,130,0.20759999999951617,519,-546.5,0.769309169079068,0.0032958984375,"[7, 4, 60, 20]"
131,131,0.20879999999951337,522,-535.0,0.7677705507409098,0.00262451171875,"[10, 4, 60, 20]"
132,132,0.20399999999952456,510,-616.0,0.766235009639428,0.0029296875,"[6, 6, 60, 20]"
133,133,0.21119999999950778,528,-576.0,0.7647025396201492,0.00250244140625,"[9, 5, 60, 20]"
134,134,0.20879999999951337,522,-678.0,0.763173134540909,0.00311279296875,"[7, 5, 60, 20]"
135,135,0.20999999999951058,525,-580.0,0.7616467882718272,0.00341796875,"[11, 4, 60, 20]"
136,136,0.20879999999951337,522,-600.0,0.7601234946952835,0.00250244140625,"[7, 5, 60, 20]"
137,137,0.20879999999951337,522,-575.5,0.7586032477058929,0.00274658203125,"[3, 2, 60, 20]"
138,138,0.20639999999951897,516,-558.5,0.7570860412104812,0.00213623046875,"[5, 7, 60, 20]"
