,Episode,Time,Final step,Score,Epsilon,Min_loss,avg_loss
85,85,0.40000000000190994,80,4504,0.998001,,0.004110827168915421
86,86,0.40000000000190994,80,4735,0.998001,,0.004257337190210819
87,87,0.40000000000190994,80,4826,0.998001,,0.003440415544901043
88,88,0.40000000000190994,80,5012,0.998001,,0.0037132027209736407
89,89,0.40000000000190994,80,4496,0.998001,,0.0033542374440003186
90,90,0.40000000000190994,80,4910,0.998001,,0.003579687181627378
91,91,0.40000000000190994,80,4581,0.998001,,0.003677728702314198
92,92,0.40000000000190994,80,4786,0.998001,,0.0036244213406462222
93,93,0.40000000000190994,80,5120,0.998001,,0.00400150817586109
94,94,0.40000000000190994,80,5036,0.998001,,0.004047396942041814
95,95,0.40000000000190994,80,5058,0.998001,,0.0033909587073139846
96,96,0.40000000000190994,80,5079,0.998001,,0.00398024934111163
